	ASV_1	ASV_2	ASV_3	ASV_4	ASV_5	ASV_6	ASV_7	ASV_8	ASV_9	ASV_10	ASV_11	ASV_12	ASV_13	ASV_14	ASV_15	ASV_16	ASV_17	ASV_18	ASV_19	ASV_20	ASV_21	ASV_22	ASV_23	ASV_24	ASV_25	ASV_26	ASV_27	ASV_28	ASV_29	ASV_30	ASV_31	ASV_32	ASV_33	ASV_34	ASV_35	ASV_36	ASV_37	ASV_38	ASV_39	ASV_40	ASV_41	ASV_42	ASV_43	ASV_44	ASV_45	ASV_46	ASV_47	ASV_48	ASV_49	ASV_50	ASV_51	ASV_52	ASV_53	ASV_54	ASV_55	ASV_56	ASV_57	ASV_58	ASV_59	ASV_60	ASV_61	ASV_62	ASV_63	ASV_64	ASV_65	ASV_66	ASV_67	ASV_68	ASV_69	ASV_70	ASV_71	ASV_72	ASV_73	ASV_74	ASV_75	ASV_76	ASV_77	ASV_78	ASV_79	ASV_80	ASV_81	ASV_82	ASV_83	ASV_84	ASV_85	ASV_86	ASV_87	ASV_88	ASV_89	ASV_90	ASV_91	ASV_92	ASV_93	ASV_94	ASV_95	ASV_96	ASV_97	ASV_98	ASV_99	ASV_100
Sample1	177	186	164	49	21	0	15	49	18	95	37	36	20	47	46	42	16	39	5	34	26	5	0	21	22	28	3	25	43	21	44	8	16	4	30	16	13	28	40	38	36	32	15	48	17	5	1	28	8	8	26	22	14	45	22	0	20	4	16	28	42	45	32	3	20	33	20	41	26	17	12	35	34	37	40	1	11	36	26	20	45	4	7	2	33	36	43	9	5	31	10	47	9	16	22	9	10	0	3	6
Sample2	18	23	26	271	226	184	23	44	11	112	5	40	47	46	22	47	12	36	49	20	35	7	39	27	27	17	25	28	43	6	41	14	23	12	17	11	19	43	16	30	31	34	9	13	16	33	5	46	14	13	31	27	21	2	18	12	27	29	39	12	24	3	16	38	3	27	14	19	4	10	14	39	16	5	16	3	34	6	41	43	11	12	4	7	17	16	40	43	6	19	32	25	35	17	41	39	31	16	43	14
Sample3	25	10	33	46	41	38	225	170	181	172	43	35	5	22	15	16	19	35	9	36	28	22	14	39	31	1	28	20	29	13	43	48	2	16	35	21	21	23	11	31	40	25	28	11	25	17	27	27	9	12	20	39	36	34	8	20	10	31	17	17	9	44	5	38	49	42	21	5	24	22	17	16	33	21	23	29	42	3	49	10	5	46	8	22	33	22	6	46	31	49	49	11	36	44	19	6	9	2	22	22
Sample4	144	202	158	21	5	4	1	28	6	97	44	26	27	14	30	25	24	23	4	4	37	46	20	48	49	0	44	10	37	14	1	23	31	49	1	16	10	2	45	40	2	7	9	41	7	12	28	34	23	24	7	4	41	40	34	25	33	7	8	1	20	19	3	49	32	40	27	11	2	47	32	29	23	24	20	32	0	36	5	38	16	45	0	13	10	25	40	9	31	10	37	10	27	28	14	38	21	25	1	13
Sample5	18	7	29	262	192	190	48	35	27	138	262	16	16	36	10	35	3	30	22	18	32	25	46	6	6	46	33	39	33	6	34	3	34	39	13	9	26	19	31	49	27	35	11	19	46	40	25	7	41	1	37	19	11	5	20	49	7	9	24	28	45	16	19	34	26	38	13	1	32	21	5	8	31	17	38	35	44	0	14	3	18	30	35	26	40	28	12	45	24	14	26	36	27	19	49	37	16	14	21	22
Sample6	19	35	32	1	42	28	237	184	186	201	44	8	4	20	15	0	9	5	9	13	36	45	8	0	28	4	22	10	11	8	41	11	37	44	12	0	2	45	14	11	9	47	29	49	39	22	24	15	7	34	7	39	46	24	8	44	21	37	39	20	38	6	47	0	6	21	26	6	3	16	26	32	0	16	40	17	14	0	29	0	25	15	34	28	11	32	17	12	32	31	33	24	41	26	44	20	3	35	36	18
Sample7	173	191	165	26	36	2	31	20	30	69	46	32	30	13	7	7	2	1	43	25	26	42	8	31	7	19	36	35	18	47	33	36	12	31	28	21	16	14	15	7	34	29	40	23	48	18	11	41	23	6	49	43	48	12	27	20	7	46	13	14	26	3	46	23	5	48	40	15	24	4	22	24	7	11	38	36	25	46	41	27	47	49	1	38	48	26	36	36	6	27	14	17	42	17	28	19	47	31	7	28
Sample8	6	39	46	281	210	180	26	35	18	108	20	19	4	1	3	48	40	19	1	3	32	11	9	12	0	10	10	48	36	7	29	36	46	28	11	25	43	24	21	7	28	22	0	42	11	44	4	35	15	20	2	0	41	33	45	17	48	31	24	26	26	28	26	35	14	16	39	2	19	43	26	13	44	5	12	18	36	19	36	23	43	31	39	38	14	24	12	37	11	21	31	18	20	3	7	2	46	31	6	19
Sample9	40	19	32	1	7	25	229	169	219	199	15	12	37	10	39	34	44	27	12	24	3	25	25	29	2	41	5	38	43	49	12	42	24	2	38	17	27	29	27	49	14	41	4	33	26	10	33	29	48	17	43	29	37	7	6	36	14	47	49	49	1	13	14	5	17	33	27	44	33	10	33	10	22	25	10	46	20	18	36	34	43	21	22	0	30	9	35	23	15	40	20	22	23	0	40	21	24	3	13	28
Sample10	174	188	142	25	43	15	23	36	15	99	20	27	2	38	3	14	17	10	39	44	21	12	40	22	23	1	17	39	48	22	12	5	8	39	1	49	28	13	19	27	32	43	19	24	7	0	47	17	25	2	2	20	17	20	15	44	16	27	21	30	40	2	5	40	31	5	25	2	25	29	45	34	46	26	45	27	48	28	41	12	31	28	8	16	48	46	30	1	15	16	45	37	41	49	47	46	20	17	2	23
