	Treatment	Timepoint	SubjectID	Location	pH	Run
Sample1	Control	0	Subject_1	Site1	7.25	1
Sample2	TreatmentA	1	Subject_1	Site2	6.93	1
Sample3	TreatmentB	2	Subject_1	Site1	7.32	1
Sample4	Control	0	Subject_2	Site2	7.76	1
Sample5	TreatmentA	1	Subject_2	Site1	6.88	1
Sample6	TreatmentB	2	Subject_2	Site2	6.88	1
Sample7	Control	0	Subject_3	Site1	7.79	1
Sample8	TreatmentA	1	Subject_3	Site2	7.38	1
Sample9	TreatmentB	2	Subject_3	Site1	6.77	1
Sample10	Control	0	Subject_4	Site2	7.27	1
Sample11	TreatmentA	1	Subject_4	Site1	6.77	1
Sample12	TreatmentB	2	Subject_4	Site2	6.77	1
Sample13	Control	0	Subject_5	Site1	7.12	1
Sample14	TreatmentA	1	Subject_5	Site2	6.04	1
Sample15	TreatmentB	2	Subject_5	Site1	6.14	1
Sample16	Control	0	Subject_6	Site2	6.72	2
Sample17	TreatmentA	1	Subject_6	Site1	6.49	2
Sample18	TreatmentB	2	Subject_6	Site2	7.16	2
Sample19	Control	0	Subject_7	Site1	6.55	2
Sample20	TreatmentA	1	Subject_7	Site2	6.29	2
Sample21	TreatmentB	2	Subject_7	Site1	7.73	2
Sample22	Control	0	Subject_8	Site2	6.89	2
Sample23	TreatmentA	1	Subject_8	Site1	7.03	2
Sample24	TreatmentB	2	Subject_8	Site2	6.29	2
Sample25	Control	0	Subject_9	Site1	6.73	2
Sample26	TreatmentA	1	Subject_9	Site2	7.06	2
Sample27	TreatmentB	2	Subject_9	Site1	6.42	2
Sample28	Control	0	Subject_10	Site2	7.19	2
Sample29	TreatmentA	1	Subject_10	Site1	6.7	2
Sample30	TreatmentB	2	Subject_10	Site2	6.85	2
Sample31	Control	0	Subject_11	Site1	6.7	3
Sample32	TreatmentA	1	Subject_11	Site2	7.93	3
Sample33	TreatmentB	2	Subject_11	Site1	6.99	3
Sample34	Control	0	Subject_12	Site2	6.47	3
Sample35	TreatmentA	1	Subject_12	Site1	7.41	3
Sample36	TreatmentB	2	Subject_12	Site2	6.39	3
Sample37	Control	0	Subject_13	Site1	7.1	3
Sample38	TreatmentA	1	Subject_13	Site2	6.02	3
Sample39	TreatmentB	2	Subject_13	Site1	6.34	3
Sample40	Control	0	Subject_14	Site2	7.1	3
Sample41	TreatmentA	1	Subject_14	Site1	7.37	3
Sample42	TreatmentB	2	Subject_14	Site2	7.09	3
Sample43	Control	0	Subject_15	Site1	6.94	3
Sample44	TreatmentA	1	Subject_15	Site2	6.85	3
Sample45	TreatmentB	2	Subject_15	Site1	6.26	3
